Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Fungal infection,itching, skin_rash, nodal_skin_eruptions, dischromic _patches, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Fungal infection,itching, nodal_skin_eruptions, dischromic _patches, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Fungal infection,itching, skin_rash, dischromic _patches, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Fungal infection,itching, skin_rash, nodal_skin_eruptions, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Allergy, continuous_sneezing, shivering, chills, watering_from_eyes, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Allergy, shivering, chills, watering_from_eyes, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Allergy, continuous_sneezing, chills, watering_from_eyes, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Allergy, continuous_sneezing, shivering, watering_from_eyes, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Allergy, continuous_sneezing, shivering, chills, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
GERD, stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
GERD, stomach_pain, acidity, vomiting, cough, chest_pain, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
GERD, stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
GERD, stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
GERD, acidity, ulcers_on_tongue, vomiting, cough, chest_pain, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Chronic cholestasis, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Chronic cholestasis,itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Chronic cholestasis,itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Chronic cholestasis,itching, vomiting, yellowish_skin, loss_of_appetite, abdominal_pain, yellowing_of_eyes, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, abdominal_pain, yellowing_of_eyes, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
AIDS, patches_in_throat, high_fever, extra_marital_contacts, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
AIDS, muscle_wasting, high_fever, extra_marital_contacts, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
AIDS, muscle_wasting, patches_in_throat, high_fever, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Diabetes , fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Gastroenteritis, sunken_eyes, dehydration, diarrhoea, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Gastroenteritis, vomiting, dehydration, diarrhoea, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Gastroenteritis, vomiting, sunken_eyes, diarrhoea, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Gastroenteritis, vomiting, sunken_eyes, dehydration, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Bronchial Asthma, fatigue, cough, breathlessness, family_history, mucoid_sputum, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Bronchial Asthma, fatigue, cough, high_fever, family_history, mucoid_sputum, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, mucoid_sputum, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Hypertension , headache, chest_pain, dizziness, lack_of_concentration, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Hypertension , headache, chest_pain, dizziness, loss_of_balance, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Migraine, acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability, visual_disturbances, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, visual_disturbances, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, high_fever, headache, nausea, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Jaundice, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Jaundice,itching, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Jaundice,itching, vomiting, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Jaundice,itching, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Jaundice,itching, vomiting, fatigue, weight_loss, yellowish_skin, dark_urine, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, dark_urine, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, abdominal_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
Malaria, chills, vomiting, high_fever, sweating, headache, nausea, muscle_pain, loss_of_appetite, malaise, yellowing_of_eyes, coma, malaise, congestion, chest_pain, blood_in_sputum, muscle_pain, muscle_pain
